вул. Савецкая
вул. Моладзевая
вул. Цэнтральная
вул. Школьная
вул. Новая
вул. Садовая
вул. Лясная
вул. Набярэжная
пр. Леніна
пр. Мiра
вул. Кастрычніцкая
вул. Зялёная
вул. Камсамольская
вул. Зарэчная
вул. Першамайская
вул. Гагарына
вул. Палявая
вул. Лугавая
вул. Піянерская
вул. Кірава
вул. Юбілейная
вул. Паўночная
вул. Пралетарская
вул. Стэпавая
вул. Пушкіна
вул. Калініна
вул. Паўднёвая
вул. Калгасная
вул. Працоўная
вул. Сонечная
вул. Чыгуначная
вул. Усходняя
вул. Завадская
вул. Чапаева
вул. Нагорная
вул. Будаўнікоў
вул. Берагавая
пр. Перамогі
вул. Горкага
вул. Кааператыўная
вул. Чырвонаармейская
вул. Саўгасная
вул. Рачная
вул. Спартовая
вул. Азёрная
вул. Будаўнічая
вул. Паркавая
вул. Чкалава
вул. Мічурына
